timestamp,src_ip,dst_ip,length,protocol,modbus_func_code,transaction_id,unit_id,direction,pcap_file,iat,label
2023-03-23T02:12:19.885221+00:00,185.175.0.4,185.175.0.6,60,6,,,,Other,vethffb308b-0.pcap,0.0,0
2023-03-23T02:12:19.885280+00:00,185.175.0.6,185.175.0.4,60,6,,,,Other,vethffb308b-0.pcap,5.888938903808594e-05,0
2023-03-23T02:12:19.885319+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,3.910064697265625e-05,0
2023-03-23T02:12:19.888519+00:00,185.175.0.4,185.175.0.6,70,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.003199815750122,0
2023-03-23T02:12:19.888537+00:00,185.175.0.6,185.175.0.4,52,6,,,,Other,vethffb308b-0.pcap,1.8358230590820312e-05,0
2023-03-23T02:12:19.894557+00:00,185.175.0.6,185.175.0.4,84,6,0.0,264.0,0.0,Other,vethffb308b-0.pcap,0.0060198307037353,0
2023-03-23T02:12:19.894598+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,4.100799560546875e-05,0
2023-03-23T02:12:19.897013+00:00,185.175.0.4,185.175.0.6,70,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.0024149417877197,0
2023-03-23T02:12:19.897623+00:00,185.175.0.6,185.175.0.4,84,6,0.0,264.0,0.0,Other,vethffb308b-0.pcap,0.0006101131439208,0
2023-03-23T02:12:19.941210+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,0.0435869693756103,0
2023-03-23T02:12:19.971763+00:00,185.175.0.4,185.175.0.6,588,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.030552864074707,0
2023-03-23T02:12:19.978599+00:00,185.175.0.6,185.175.0.4,60,6,,,,Other,vethffb308b-0.pcap,0.0068359375,0
2023-03-23T02:12:19.978690+00:00,185.175.0.4,185.175.0.6,60,6,,,,Other,vethffb308b-0.pcap,9.131431579589844e-05,0
2023-03-23T02:12:19.978721+00:00,185.175.0.6,185.175.0.4,52,6,,,,Other,vethffb308b-0.pcap,3.0994415283203125e-05,0
2023-03-23T02:12:19.979489+00:00,185.175.0.6,185.175.0.4,73,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.0007679462432861,0
2023-03-23T02:12:19.979516+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,2.6702880859375e-05,0
2023-03-23T02:12:19.981517+00:00,185.175.0.4,185.175.0.6,73,6,0.0,264.0,0.0,Other,vethffb308b-0.pcap,0.0020012855529785,0
2023-03-23T02:12:19.981536+00:00,185.175.0.6,185.175.0.4,52,6,,,,Other,vethffb308b-0.pcap,1.883506774902344e-05,0
2023-03-23T02:12:19.983196+00:00,185.175.0.6,185.175.0.4,239,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.0016601085662841,0
2023-03-23T02:12:19.984050+00:00,185.175.0.4,185.175.0.6,60,6,,,,Other,vethffb308b-0.pcap,0.0008540153503417,0
2023-03-23T02:12:19.984083+00:00,185.175.0.6,185.175.0.4,60,6,,,,Other,vethffb308b-0.pcap,3.2901763916015625e-05,0
2023-03-23T02:12:19.984115+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,3.1948089599609375e-05,0
2023-03-23T02:12:19.984454+00:00,185.175.0.4,185.175.0.6,121,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.0003390312194824,0
2023-03-23T02:12:19.984467+00:00,185.175.0.6,185.175.0.4,52,6,,,,Other,vethffb308b-0.pcap,1.3113021850585938e-05,0
2023-03-23T02:12:19.985377+00:00,185.175.0.6,185.175.0.4,201,6,0.0,264.0,0.0,Other,vethffb308b-0.pcap,0.0009100437164306,0
2023-03-23T02:12:19.985415+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,3.790855407714844e-05,0
2023-03-23T02:12:19.987678+00:00,185.175.0.4,185.175.0.6,71,6,0.0,264.0,0.0,Other,vethffb308b-0.pcap,0.002263069152832,0
2023-03-23T02:12:19.989698+00:00,185.175.0.6,185.175.0.4,85,6,0.0,264.0,0.0,Other,vethffb308b-0.pcap,0.0020198822021484,0
2023-03-23T02:12:19.989740+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,4.220008850097656e-05,0
2023-03-23T02:12:19.990892+00:00,185.175.0.6,185.175.0.4,52,6,,,,Other,vethffb308b-0.pcap,0.0011518001556396,0
2023-03-23T02:12:19.991095+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,0.0002031326293945,0
2023-03-23T02:12:19.991115+00:00,185.175.0.6,185.175.0.4,52,6,,,,Other,vethffb308b-0.pcap,2.002716064453125e-05,0
2023-03-23T02:12:19.991164+00:00,185.175.0.6,185.175.0.4,60,6,,,,Other,vethffb308b-0.pcap,4.887580871582031e-05,0
2023-03-23T02:12:19.991210+00:00,185.175.0.4,185.175.0.6,60,6,,,,Other,vethffb308b-0.pcap,4.601478576660156e-05,0
2023-03-23T02:12:19.991229+00:00,185.175.0.6,185.175.0.4,52,6,,,,Other,vethffb308b-0.pcap,1.883506774902344e-05,0
2023-03-23T02:12:19.991386+00:00,185.175.0.6,185.175.0.4,73,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.000157356262207,0
2023-03-23T02:12:19.991411+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,2.47955322265625e-05,0
2023-03-23T02:12:20.032308+00:00,185.175.0.4,185.175.0.6,130,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.0408968925476074,0
2023-03-23T02:12:20.032695+00:00,185.175.0.6,185.175.0.4,208,6,0.0,264.0,0.0,Other,vethffb308b-0.pcap,0.0003871917724609,0
2023-03-23T02:12:20.032742+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,4.673004150390625e-05,0
2023-03-23T02:12:20.033457+00:00,185.175.0.4,185.175.0.6,60,6,,,,Other,vethffb308b-0.pcap,0.0007150173187255,0
2023-03-23T02:12:20.033492+00:00,185.175.0.6,185.175.0.4,60,6,,,,Other,vethffb308b-0.pcap,3.504753112792969e-05,0
2023-03-23T02:12:20.033524+00:00,185.175.0.4,185.175.0.6,52,6,,,,Other,vethffb308b-0.pcap,3.218650817871094e-05,0
2023-03-23T02:12:20.033637+00:00,185.175.0.4,185.175.0.6,217,6,0.0,8.0,0.0,Other,vethffb308b-0.pcap,0.0001130104064941,0
